epoch,train_loss,eval_loss,eval_top1,eval_top5
0,1.8840155275458963,0.81409765625,85.18,99.24
1,1.3298462226859524,0.361068359375,94.6,99.87
2,1.1858074695636065,0.3011244140625,96.66,99.95
3,1.139981833533344,0.285619140625,97.09,99.88
4,1.115390796182502,0.233305078125,97.7,99.95
5,1.0858329236507416,0.27089609375,98.2,99.94
6,1.0753720775883422,0.2726353515625,97.91,99.95
7,1.05018204335983,0.32299609375,98.14,99.97
8,1.0475022457858436,0.2321021484375,98.3,99.95
9,1.028382438625026,0.2542939453125,98.57,99.96
10,0.9993401449969691,0.25552734375,98.44,99.98
11,1.0182801328408413,0.31737265625,96.41,99.89
12,1.0014711800548766,0.26933125,98.51,99.97
13,0.9653689437187635,0.2393484375,98.62,99.96
14,0.9629660658856742,0.2220427734375,98.82,99.97
15,0.9689439659954137,0.1860962890625,98.57,99.97
16,0.9625658371254929,0.247366796875,98.38,99.97
17,0.9475747507352096,0.2181533203125,98.66,99.98
18,0.9392052820095649,0.2110923828125,98.72,99.97
19,0.9457526485889386,0.2061783203125,98.68,99.95
20,0.9414171300127975,0.23931484375,98.18,99.98
21,0.9401500253086417,0.2037408203125,98.59,99.98
22,0.9028893099126652,0.2455146484375,98.85,99.97
23,0.925382644447506,0.1801732421875,98.86,99.94
